"tick","number_infected"
1.1,92
2.1,255
3.1,338
4.1,444
5.1,529
6.1,595
7.1,636
8.1,695
9.1,741
10.1,775
11.1,815
12.1,849
13.1,874
14.1,902
15.1,919
16.1,941
17.1,961
18.1,988
19.1,1007
20.1,1019
21.1,1032
22.1,1054
23.1,1070
24.1,1085
25.1,1095
26.1,1106
27.1,1112
28.1,1121
29.1,1132
30.1,1141
31.1,1149
32.1,1158
33.1,1166
34.1,1173
35.1,1183
36.1,1187
37.1,1195
38.1,1200
39.1,1203
40.1,1207
41.1,1211
42.1,1217
43.1,1227
44.1,1235
45.1,1241
46.1,1249
47.1,1254
48.1,1257
49.1,1258
50.1,1259
51.1,1264
52.1,1284
53.1,1314
54.1,1371
55.1,1443
56.1,1524
57.1,1601
58.1,1707
59.1,1806
60.1,1924
61.1,2044
62.1,2130
63.1,2227
64.1,2328
65.1,2407
66.1,2494
67.1,2578
68.1,2655
69.1,2737
70.1,2812
71.1,2885
72.1,2963
73.1,3031
74.1,3097
75.1,3165
76.1,3220
77.1,3281
78.1,3342
79.1,3382
80.1,3424
81.1,3465
82.1,3499
83.1,3541
84.1,3583
85.1,3625
86.1,3663
87.1,3703
88.1,3735
89.1,3769
90.1,3808
91.1,3839
92.1,3877
93.1,3906
94.1,3936
95.1,3967
96.1,3990
97.1,4020
98.1,4058
99.1,4084
