"tick","number_infected"
1.1,84
2.1,220
3.1,296
4.1,410
5.1,483
6.1,566
7.1,622
8.1,680
9.1,731
10.1,775
11.1,806
12.1,837
13.1,860
14.1,883
15.1,907
16.1,926
17.1,945
18.1,959
19.1,983
20.1,1007
21.1,1020
22.1,1032
23.1,1042
24.1,1060
25.1,1071
26.1,1086
27.1,1094
28.1,1101
29.1,1110
30.1,1117
31.1,1125
32.1,1130
33.1,1142
34.1,1146
35.1,1153
36.1,1156
37.1,1166
38.1,1170
39.1,1177
40.1,1185
41.1,1192
42.1,1199
43.1,1210
44.1,1220
45.1,1227
46.1,1233
47.1,1238
48.1,1246
49.1,1255
50.1,1261
51.1,1278
52.1,1301
53.1,1334
54.1,1377
55.1,1439
56.1,1508
57.1,1591
58.1,1691
59.1,1773
60.1,1875
61.1,1992
62.1,2096
63.1,2197
64.1,2287
65.1,2371
66.1,2449
67.1,2540
68.1,2626
69.1,2694
70.1,2762
71.1,2842
72.1,2905
73.1,2960
74.1,3010
75.1,3064
76.1,3119
77.1,3180
78.1,3214
79.1,3264
80.1,3309
81.1,3352
82.1,3387
83.1,3432
84.1,3470
85.1,3515
86.1,3552
87.1,3587
88.1,3616
89.1,3643
90.1,3673
91.1,3705
92.1,3735
93.1,3757
94.1,3788
95.1,3813
96.1,3839
97.1,3870
98.1,3903
99.1,3926
