"tick","number_infected"
1.1,98
2.1,244
3.1,326
4.1,426
5.1,492
6.1,558
7.1,597
8.1,648
9.1,689
10.1,730
11.1,755
12.1,779
13.1,806
14.1,825
15.1,847
16.1,862
17.1,879
18.1,890
19.1,903
20.1,920
21.1,935
22.1,938
23.1,952
24.1,960
25.1,967
26.1,977
27.1,985
28.1,998
29.1,1010
30.1,1020
31.1,1033
32.1,1048
33.1,1059
34.1,1066
35.1,1072
36.1,1080
37.1,1088
38.1,1094
39.1,1103
40.1,1108
41.1,1118
42.1,1122
43.1,1127
44.1,1134
45.1,1137
46.1,1143
47.1,1148
48.1,1151
49.1,1158
50.1,1161
51.1,1170
52.1,1193
53.1,1230
54.1,1272
55.1,1341
56.1,1404
57.1,1467
58.1,1566
59.1,1658
60.1,1736
61.1,1821
62.1,1908
63.1,1991
64.1,2091
65.1,2173
66.1,2246
67.1,2310
68.1,2391
69.1,2453
70.1,2520
71.1,2597
72.1,2664
73.1,2730
74.1,2782
75.1,2838
76.1,2899
77.1,2942
78.1,2984
79.1,3033
80.1,3072
81.1,3107
82.1,3143
83.1,3186
84.1,3222
85.1,3261
86.1,3317
87.1,3355
88.1,3393
89.1,3435
90.1,3465
91.1,3513
92.1,3553
93.1,3590
94.1,3623
95.1,3657
96.1,3684
97.1,3712
98.1,3746
99.1,3782
