"tick","number_infected"
1.1,19870
2.1,39228
3.1,57897
4.1,75764
5.1,92611
6.1,108814
7.1,123795
8.1,138053
9.1,151203
10.1,163721
11.1,175273
12.1,186247
13.1,196445
14.1,206175
15.1,215122
16.1,223853
17.1,231917
18.1,239550
19.1,246676
20.1,253440
21.1,259822
22.1,265869
23.1,271525
24.1,277121
25.1,282263
26.1,287232
27.1,291960
28.1,296452
29.1,300717
30.1,304630
31.1,308487
32.1,312158
33.1,315606
34.1,319066
35.1,322235
36.1,325335
37.1,328328
38.1,331155
39.1,333828
40.1,336502
41.1,338953
42.1,341289
43.1,343525
44.1,345755
45.1,347840
46.1,349941
47.1,351945
48.1,353888
49.1,355723
50.1,357586
51.1,374917
52.1,393590
53.1,423832
54.1,463366
55.1,513540
56.1,568927
57.1,624913
58.1,676898
59.1,723755
60.1,764751
61.1,799714
62.1,829428
63.1,854467
64.1,875928
65.1,894216
66.1,910274
67.1,924374
68.1,936573
69.1,947456
70.1,957281
71.1,965951
72.1,973857
73.1,981143
74.1,987950
75.1,994082
76.1,999836
77.1,1005166
78.1,1010139
79.1,1014805
80.1,1019065
81.1,1023202
82.1,1026989
83.1,1030534
84.1,1033877
85.1,1037133
86.1,1040117
87.1,1043068
88.1,1045895
89.1,1048629
90.1,1051149
91.1,1053505
92.1,1055841
93.1,1058041
94.1,1060241
95.1,1062270
96.1,1064203
97.1,1066201
98.1,1068108
99.1,1069927
