"tick","number_infected"
1.1,19876
2.1,39242
3.1,57948
4.1,75838
5.1,92789
6.1,109140
7.1,124240
8.1,138694
9.1,152059
10.1,164794
11.1,176578
12.1,187828
13.1,198239
14.1,208393
15.1,217735
16.1,226736
17.1,235124
18.1,243189
19.1,250751
20.1,257972
21.1,264844
22.1,271400
23.1,277629
24.1,283553
25.1,289172
26.1,294603
27.1,299665
28.1,304544
29.1,309179
30.1,313712
31.1,317965
32.1,322198
33.1,326203
34.1,330145
35.1,333812
36.1,337376
37.1,340702
38.1,344088
39.1,347262
40.1,350301
41.1,353197
42.1,356129
43.1,358896
44.1,361612
45.1,364325
46.1,366833
47.1,369324
48.1,371792
49.1,374077
50.1,376455
51.1,394439
52.1,413867
53.1,444595
54.1,484591
55.1,534350
56.1,589723
57.1,645679
58.1,698292
59.1,746756
60.1,788657
61.1,824526
62.1,855037
63.1,881353
64.1,903837
65.1,923130
66.1,940058
67.1,955165
68.1,968474
69.1,980588
70.1,991598
71.1,1001640
72.1,1010891
73.1,1019496
74.1,1027379
75.1,1034708
76.1,1041651
77.1,1048276
78.1,1054391
79.1,1060384
80.1,1066075
81.1,1071582
82.1,1076650
83.1,1081660
84.1,1086476
85.1,1091048
86.1,1095468
87.1,1099778
88.1,1103868
89.1,1107850
90.1,1111770
91.1,1115528
92.1,1119240
93.1,1122829
94.1,1126338
95.1,1129805
96.1,1133203
97.1,1136601
98.1,1139958
99.1,1143197
