"tick","number_infected"
1.1,19883
2.1,39272
3.1,57968
4.1,75898
5.1,92780
6.1,108896
7.1,123835
8.1,138187
9.1,151495
10.1,164242
11.1,175907
12.1,187028
13.1,197447
14.1,207414
15.1,216664
16.1,225484
17.1,233612
18.1,241384
19.1,248653
20.1,255670
21.1,262274
22.1,268663
23.1,274612
24.1,280323
25.1,285749
26.1,290939
27.1,295837
28.1,300593
29.1,305067
30.1,309393
31.1,313428
32.1,317385
33.1,321119
34.1,324732
35.1,328123
36.1,331339
37.1,334519
38.1,337602
39.1,340555
40.1,343417
41.1,346136
42.1,348797
43.1,351281
44.1,353806
45.1,356210
46.1,358547
47.1,360785
48.1,362976
49.1,365026
50.1,367142
51.1,384818
52.1,403700
53.1,434088
54.1,474352
55.1,525182
56.1,581287
57.1,637810
58.1,690923
59.1,738617
60.1,780023
61.1,815549
62.1,845685
63.1,871690
64.1,893944
65.1,913030
66.1,930167
67.1,945188
68.1,958649
69.1,970881
70.1,981942
71.1,991910
72.1,1001052
73.1,1009700
74.1,1017489
75.1,1024860
76.1,1031795
77.1,1038330
78.1,1044599
79.1,1050557
80.1,1056120
81.1,1061430
82.1,1066565
83.1,1071619
84.1,1076498
85.1,1081224
86.1,1085754
87.1,1090143
88.1,1094346
89.1,1098452
90.1,1102367
91.1,1106221
92.1,1109869
93.1,1113581
94.1,1117071
95.1,1120603
96.1,1124007
97.1,1127492
98.1,1130794
99.1,1134084
