"tick","number_infected"
1.1,97
2.1,241
3.1,332
4.1,430
5.1,502
6.1,566
7.1,607
8.1,665
9.1,703
10.1,749
11.1,776
12.1,817
13.1,841
14.1,861
15.1,879
16.1,905
17.1,920
18.1,936
19.1,947
20.1,961
21.1,976
22.1,984
23.1,995
24.1,1010
25.1,1021
26.1,1033
27.1,1045
28.1,1055
29.1,1066
30.1,1073
31.1,1081
32.1,1092
33.1,1104
34.1,1113
35.1,1125
36.1,1131
37.1,1138
38.1,1145
39.1,1150
40.1,1154
41.1,1162
42.1,1166
43.1,1169
44.1,1173
45.1,1179
46.1,1182
47.1,1185
48.1,1188
49.1,1190
50.1,1194
51.1,1195
52.1,1218
53.1,1251
54.1,1297
55.1,1353
56.1,1424
57.1,1515
58.1,1600
59.1,1709
60.1,1806
61.1,1895
62.1,1983
63.1,2068
64.1,2163
65.1,2240
66.1,2319
67.1,2409
68.1,2479
69.1,2567
70.1,2633
71.1,2689
72.1,2750
73.1,2813
74.1,2874
75.1,2937
76.1,2989
77.1,3043
78.1,3089
79.1,3143
80.1,3195
81.1,3247
82.1,3296
83.1,3336
84.1,3376
85.1,3415
86.1,3450
87.1,3481
88.1,3512
89.1,3547
90.1,3592
91.1,3625
92.1,3655
93.1,3688
94.1,3715
95.1,3747
96.1,3775
97.1,3797
98.1,3817
99.1,3842
